drama,review
시티홀,궁금했다 서울신청사 난 그냥 나쁘진 않던데 쨌든 그래도 너무행
시티홀,ㄹㄹ
식샤를 합시다 3,뭔가 다 어색하다
신데렐라와 네 명의 기사,유치하고 좋구만? 얼마나 좋아. 넷 다 훈훈하고. 네 명이 다 소담이 좋아해버려라. 완전 유치하게 가자.
신데렐라와 네 명의 기사,난 이게 왜재밌냐?
신데렐라와 네 명의 기사,오글거리는데 보게 된다 재밌어서 자존심 상함
신데렐라와 네 명의 기사,유치한 입맛에 저격
신사와 아가씨,나만 재밌나 ..?
신입사관 구해령,소재도 신선하고 좋았다
싸이코패스 다이어리,보고싶다..
쌈 마이웨이,걔가 날 우습게 본다고 내가 우스워 지나
쌈 마이웨이,배우들의 캐릭터에 대한 이해도가 돋보이는 작품.
쌈 마이웨이,"유치한 부분도 유쾌하게 넘어갈 수 있다면, 배우도 연출도 각본도 잘 쓴 드라마라는 증거."
쌈 마이웨이,이 사람들 덕분에 여름이 즐거웠다.
쌍갑포차,웰메이드.
쌍갑포차,에피소드 형식이라니 기대중
아는 와이프,예상처럼 흘러가는 전개 방식 다 알 것만 같은 에피소드들
아랑사또전,갠적으로 ost가 너무 좋아서
아랑사또전,사극이 오글거리면 귀엽다.
아랑사또전,나..이거 봤다
아랑사또전,아... 괜히 봤다
아름다운 그대에게,유치하다. 인정하고 싶지 않지만 재밌었다.
아름다운 그대에게,오글거리는데 자꾸 보게된다 ㅋㅋㅋㅋㅋㅋ 하
아름다운 그대에게,토마 귀엽넹
아름다운 그대에게,내가 대단하다.
아름다운 그대에게,솔직히 재밌었다 ㅇㅈ?ㅇㅇㅈ~
아름다운 그대에게,옛날 재미있게 본 일드
아름다운 그대에게,유치하고 꿀잼
아름다웠던 우리에게,이 집 남주 얼굴 잘하네.
아름다웠던 우리에게,남자주인공 얼굴이 재밌다😆
아버님 제가 모실게요,잼잇어요~^^
아스달 연대기,기대됨 빌드업 했으니 포텐터지길
아스달 연대기,또 선물처럼 돌아오길 희망해봅니다
아스달 연대기,생각보다 괜찮아서 놀라운
아스달 연대기,나라는 이야기로 만들어지는 거야
아스달 연대기,재미있어요! 2023. 12. 11. ~ 2023. 12. 24.
아스달 연대기,재밌기만한데....
아이리스,.
아이리스,이거 본 사람은 ㄹㅇ 나뿐일걸?^^ 꽤 재미졌어유~
아이리스,^ㅗ^
아이언맨,당신의 이야기 잘들었어요!
아이템,"현대인들에게 가장 필요한, 내 이야기를 맘껏 들어줄 사람. 소통해주는 사람."
아이템,힐링무비
아이템,아이가 사자에게 웃는법을 가르치는것
아이템,불안감을 유대감으로 뒤바꾸는 매력적인 배우들의 집합.
아이템,가슴 따뜻해지는 힐링영화
아이템,마지막에 그가 한 고민에 공감한다.
아이템,누군가의 일상을 엿본 기분. 근데 엿본 일상이 아주 특별한 하루다. 지친 사람들에게 담담히 추천
아이템,유쾌하고 따뜻하다.. 행복한 10가지 생각해봐야지!
아이템,걍 편안하게 볼만한데 소소하게 웃김ㅋㅋㅋㅋㅋ
아이템,"살아가면서 가끔은 쉼표 하나, 그리고 자신감 한 스푼"
아홉수 소년,아직도 너무 좋다.
아홉수 소년,기대가 됩니다
아홉수 소년,ost의 즐거움
아홉수 소년,다 너무 좋았던.. 억지가 있어도 좋았던..
아홉수 소년,재밌쩌요
악마가 너의 이름을 부를 때,"좋은 노래, 좋은 배우, 다양한 감정"
악마가 너의 이름을 부를 때,ost가 너무 좋다
악마가 너의 이름을 부를 때,나레이션으로 설명하려는 드라마..
악의 마음을 읽는 자들,연기가 맛있다
악의 마음을 읽는 자들,실화라 그런지 몰입도가 미쳐버림
악의 마음을 읽는 자들,갈수록 오글오글…
알고있지만,"흐헿 상위포식자 어항에 들어가본 자, 이 드라마를 공감할 지어다"
알고있지만,묘하게 끌린단말야 ¯ࡇ¯
알고있지만,"자극적이지 않고, 미묘해서 좋았고 솔직해서 끌렸다."
알함브라 궁전의 추억,이게 그렇게 신선함...?
알함브라 궁전의 추억,제 기억도 리셋해주세요🤬
앨리스,이병헌의 손길이 닿은 것 같긴 한데.
앨리스,청불하길 잘했다.
앨리스,"찾았다,, 무릎반사 같은 드라마 ❤️"
앨리스,신박하게 웃기네. 왓챠가 가끔씩 잘하네 ㅋ
앨리스,케미는 좋은데
앨리스,하하하하하하하하하하하하너무재밌다
어게인 마이 라이프,갑자기 진행되서 끝난 기분이다ㅠ
어게인 마이 라이프,"아, 재미있었는데 분명히"
어게인 마이 라이프,진부하지만 재밌다.
어게인 마이 라이프,캐릭터나 내용전개가 유치하고 오글거리지만 계속 보게 되는 흡입력은 뛰어나다.
어게인 마이 라이프,"지나치게 얽히지 않고, 최대한 가볍게"
어느 날 우리 집 현관으로 멸망이 들어왔다,나는 재미있는데...
어느날,몰입도는 좋았지만 마무리가...
어바웃타임,신선한 로맨스인줄로 알았는데 이건 행복에 대한 이야기.  이 영화로 인해 더 행복해졌다
어바웃타임,시사회 관람하고 온 사람입니다.
어바웃타임,다시 나를 되돌아보며 전보다 더 아름다워질 시간여행을 위해서
언더커버,묘하다
여름 향기,여름의 향기가 느껴진다.
여름 향기,노래 진짜 좋다
여름향기,여름의 향기가 느껴진다.
여름향기,노래 진짜 좋다
여신강림,좀 오글거리긴하는데 취향 맞으면 꿀잼임
여신강림,남녀주인공 얼굴 걍 존잼; 유치한데 설레💛
여신강림,세상 유치하지만  참 따듯하고 사랑스러워
여인의 향기,알파치노에 취한다
역도요정 김복주,아프니까....? 어쨌든 청춘이라 부럽다
역도요정 김복주,유치하지만 풋풋하다.
역도요정 김복주,스웩
역도요정 김복주,그냥 20대초반의 느낌이 싱그럽다 이런 청춘물좋다
역도요정 김복주,비주얼 만큼은 인정
역도요정 김복주,풋풋했다. 내가 대학생이 된 기분
연애의 발견,상황자체는 억지스러울수도 있지망 대사 하나하나 들어보면 정말 내맘을 들여다봤나 싶을정도로 현실돋는 드라마
연애의 발견,참 묘한 일이야.
연애의 발견,그래 나 원래 이렇게 온몸이 저릿저릿한 사랑놀이 좋아했어. 으.여름냄새난다.좋다.
열두밤,잔잔하다. 잔잔하게 생각이 밀려온다.
열여덟의 순간,하 좀 설랬다
열혈사제,시간은 흘렀는데 시즌 1에서 멈춰버린 이야기.
영광의 재인,와 난 이거 진짜 재밌게 봤다
영광의 재인,옛날에 되게 재밌게 봄
오 나의 귀신님,안 웃으며 보려고 해도 어느새 얼굴은 미소를 짓고 있다.
오 마이 금비,애기때문에 본다 근데.뭔가 새론이 느낌
오 마이 레이디,코믹하고 ㅋㅋ재밌게봄
오! 주인님,둘이 어울려.
오렌지 마말레이드,또 또 나만 재밌게 봤지..
오렌지 마말레이드,연기와 스토리가 유치했다ㅜ
오렌지 마말레이드,엄청 재미있어요
오월의 청춘,"역사가 스포인 드라마에서 이 정도면 운도 잘 띄웠고, 마무리도 잘 했다는 생각이 든다. 그 날에 대해서 여러 각도로 생각해보게 되었다."
옥탑방 왕세자,유치하지만 귀여웠다
옥탑방 왕세자,이거볼시간에 미드를 볼껄...
옥탑방 왕세자,뻔한 매력에 흠뻑 빠졌던
옥탑방 왕세자,어릴 때 재밌게 본 기억
옥탑방 왕세자,유치뽕짝하지만 너무 신선했던 좋은 드라마
옷소매 붉은 끝동,나 미치겠어요..
왕은 사랑한다,"외모 상향, 연기 하향 평준화."
왕은 사랑한다,작가반성해라
왕은 사랑한다,"예상했던 뻔함, 따로 노는 케미."
왕이 된 남자,사람냄새가 났기에 우리는 쉽게 다가서고 공감할 수 있었다.
왜 오수재인가,뭘 얘기하고 싶은 지 모르겠는 전개
"우리, 사랑했을까","우리, 사랑하고 있어"
"우리, 사랑했을까",가볍게~가볍게~볼만~.. 22.8.25-8.28
"우리, 사랑했을까",주인공보다 다른 인물이 더 매력적이고 궁금하다
"우리, 사랑했을까",난해함
우리는 오늘부터,배우들 웃참 찾는 거 재미있다. ㅋㅋㅋ
우리는 오늘부터,배우들 웃참하는 모습 여실히 보여주는 게 관전 포인트
우리는 오늘부터,바보라서 다행이다~
우리는 오늘부터,이마이 산뜻한 미소 진짴ㅋㅋㅋㅋㅋ개웃겨ㅋㅋㅋㅋㅋ 2021.02.22
우리는 오늘부터,"행복하면 됐다 이마이...,"
우리는 오늘부터,이마이...매력적이야
우리는 오늘부터,바보라서 다행이다~
우리는 오늘부터,웃겨서화남
우리는 오늘부터,바보라서 다행이다~ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
우리는 오늘부터,오마이갓^^ 미츠하시랑 이토랑 이마이랑 좋아졌어
우리는 오늘부터,가볍게… 귀엽다.
우리는 오늘부터,싱긋(^ㅁ^)
우리는 오늘부터,산뜻해보이는 이마이가 열받네
우리는 오늘부터,이마이 바보인데 .. 좋다
우리는 오늘부터,배우들 웃참이 다했다
우리는 오늘부터,이마이 한테 스며듬
우리는 오늘부터,이마이... 행복하자
우리들의 블루스,윗도리 아랫도리 어떻게 안웃어요 ㅠㅋㅋㅋㅋㅋㅋ
우리들의 블루스,가까이 있는 삶인 척하기
우아한 가,짜릿해
우아한 가,막장인데 통쾌하다
운명과 분노,굿 아주재미있어요
운명처럼 널 사랑해,"두 배우의 케미가 나쁘지 않았던. 웃기기도 하고, 설레기도 하고."
원 더 우먼,참지 않고 속시원히 자기 할 말 다 하는 주인공을 보며 느끼는 희열
원 더 우먼,간만에 깔끔한 드라마
원 더 우먼,아 시원해
원 더 우먼,그래 제발 코미디 드라마도 좀 많이 만들어줘라
원 더 우먼,보면 너무 사이다라 그간 쌓인거 다풀림 너무 웃김ㅋㅋㅋㅋㅋㅋ
원티드,액션을 과시하기 바쁘다
월간 집,이건 시리즈로 나와줘야 하는 코미디
월간 집,가볍게 보기 좋은 드라마
유미의 세포들,보는동안 나를 아끼는 귀엽고 소중한 존재들이 갑자기 많아지는 느낌이 들었다. 그래서 때로는 신났고 때로는 안타까웠다.
유미의 세포들,예상했지만 예상했던 결말로 끝나서 너무 좋다.
유미의 세포들 2,보는동안 나를 아끼는 귀엽고 소중한 존재들이 갑자기 많아지는 느낌이 들었다. 그래서 때로는 신났고 때로는 안타까웠다.
유미의 세포들 2,예상했지만 예상했던 결말로 끝나서 너무 좋다.
으라차차 와이키키,소희연기땜에 몰입방해됨
으라차차 와이키키,나도 저렇게 즐겁게 인생이 잘 풀리게되면 얼마나 좋을까 잘웃었다 (문가영 너무 예쁨)
으라차차 와이키키,브라더.. 하고 개소리하는게 너무웃김 아 개웃겨
응답하라 1988,익숙함에 속아 소중함을 잊지않기
응답하라 1988,택이가 맞다니께 ^^
이리와 안아줘,다름아 잘 커줘서 고마워ㅠㅠ
이리와 안아줘,나무와 낙원의 위로가 따뜻하다
이리와 안아줘,❣️
이번 생은 처음이라,"너무 현실적이고, 공감가는 대사들이 많다."
이번 생은 처음이라,요즘 행복한 이유다
이번 생은 처음이라,"소소하게, 그러나 깊이 있게 위로가 된다."
이브,속삭이거나 소리지르거나
이웃집 꽃미남,재미는 그냥 그런데 배우들 비주얼이 매우 맘에 듦
이웃집 꽃미남,잔물결치는 드라마
이웃집 꽃미남,생각보다 좋았다. 위로를 받는 느낌도 있었던것 같다.
이웃집 꽃미남,기억이 잘 안난다
이웃집 꽃미남,어릴 때 재밌게 봤다
이웃집 꽃미남,깨금이좋아
이판사판,"결국, 개판."
이판사판,사건 전개가 느리다
이판사판,힘들다
이판사판,뭔가 하고 싶은 얘기는 많은데.. 그런 것 같은데..
인간수업,평범이란 사치.
인현왕후의 남자,연애하고 싶게 말이야.
인현왕후의 남자,재밌어요~ 두번이나 봤어요~
자이언트,사랑받는 자의 미소는 아름답다.
자이언트,난 내가 선택한 대로 된다.
작은 아씨들,.
장난스런 키스,"유쾌하고 따뜻한 인연 장난스러움이 진심으로 진화하는 과정 열 번 찍어 안 넘어가면 열 한 번 찍는, 독하지만 귀여운 끈기"
장난스런 키스,누군가는 설레면서 봤겠지.
장난스런 키스,왜 때문인지 감동 받았습니다. 그리고 승리는 나쁩니다.
장난스런 키스,와 끝까지 다 본 나에게 박수를..
장난스런 키스,장난으로 만든 것 같은 영화.
장난스런 키스,내가 재밌게 봤다는데 뭐
장난스런 키스,날 위해 노력해 주는 네 모습이 귀여워 ‘
장미빛 연인들,너무 재미있어요!!!!!
장미빛 연인들,재미잇어요
"장옥정, 사랑에 살다",김태희 연기가 발전해서 내가괜히 뿌듯함..
"장옥정, 사랑에 살다",나의 인생 드라마.....근데 나만 그런 듯
저글러스,백진희가 이리도 유쾌 화통할 줄이야.
저글러스,뻔하지만 귀여움
저글러스,비주얼 때문에 봤다
저글러스,귀엽고 유치한
저스티스,희망은 진실이며 현실이다.
전설의 고향,새로운 아역발견 그리고 옛추억생성
전설의 고향,쌍둥이 자매에 대한 내용. 근데. 재미가.
전설의 고향,ㅇㅇ
전설의 고향,.
전설의 고향,내가 이걸 내 돈 주고 봤다니
전설의 마녀,뻔하다
전설의 마녀,왠진 모르겠지만 그냥 뭔가 재미(는) 있다....
전설의 마녀,소재만큼은 새로웠다
전설의 마녀,엄마랑 같이 보기 딱좋았다 얘깃거리도 되고
전설의 마녀,개잼ㅎㅎㅎㅎ완전잼
전설의 마녀,넘 재미있어요~~잘보고 있습니다~~수인이가 잘되게 해주세요~~
전우치,유쾌! 통쾌! 상쾌! 3박자를 고루갖춘 잼있는 액셩영화 굿굿
전우치,그럭저럭 흥미진진
전우치,영화의 독특한 분위기가 좋았다. 캐스팅 덕분인듯.
전우치,"신선한 장르, 매력적인 캐릭터, 흥미진진한 볼거리. '유쾌' 그 자체적인 모습."
절대 그이,진구때문에 봤어요..
절대 그이,개병맛인데 존나웃김ㅋㅋㅋㅋㅋㅋㅋ
절대 그이,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
제3의 매력,가끔 또 보고싶을 것 같다.
제3의 매력,중반까진 재밌게 봤다고.... 그랬다고... 하 ..
제빵왕 김탁구,"맛있구나, 탁구야."
제빵왕 김탁구,맛있었던드라마.
제빵왕 김탁구,자꾸 들려요... 그 사람아 사랑아 내 사랑아...
"제왕의 딸, 수백향",한편의 고전서사를 읽는듯한 묵직한 감동
"제왕의 딸, 수백향",수고했다.
조선로코 녹두전,뭐야 ㅅ시불 재미있다고 하는거에 낚였네
좀비탐정,뻔하고 유치한데 신선하고 웃기잖아.
좀비탐정,흔한 B급 감성
"지금, 헤어지는 중입니다",쿨한척 하는 부장님이 떠오른다...
"지금, 헤어지는 중입니다",주변인물들 상황 대사가 참 현실적이어서 공감가네
"지금, 헤어지는 중입니다",어디에서 본거같아 사람만 달라진느낌..
"지금, 헤어지는 중입니다","이제 겁내지 않고 우리가 사랑했던 그대로, 그 힘으로, 나는 또 살아갈게."
지옥,중간에 띠용한 부분이 있긴 하지만 그래도 재밌었다
지옥,콘셉트와 캐릭터에 잡아먹힌 메시지
진심이 닿다,끝내 무심한 동정에 닿기까지.
진심이 닿다,가벼운 로코물이지만 볼만하다.
진심이 닿다,질질안끓어서좋아요 달달😊
질투의 화신,조정석이 '더' 좋아지는 드라마.
질투의 화신,갈수록 이야기가 똥되는 느낌.
찬란한 유산,선의는 돌아오는 거야.
찬란한 유산,이런 분위기 좋아요.
천국의 계단,생각보다 신선하고 유머러스했던.
천국의 계단,재미난 상상력과 표현으로 빚어낸 멜로드라마.
천국의 계단,카메라는 답을 알고 있다
천국의 계단,무슨 이런 달콤한 이야기가
천국의 계단,ㅇ
천국의 계단,시대가 믿기지 않는다.
천원짜리 변호사,코미디였네
천원짜리 변호사,백시보 괜찮네~~
천원짜리 변호사,"그럭저럭, 얼렁뚱땅. 재미는 있다."
천원짜리 변호사,어디서 본 듯한 스토리
천원짜리 변호사,3번째 웃으면 저랑 사귈래요?
철인왕후,다들 행복해 보여서 나도 행복했다.
철인왕후,재밌었다...
철인왕후,본편과 무관하여 좋다.
첫사랑은 처음이라서,딱 알맞게 잘 만들어 진 드라마였다 ㅎ
첫사랑은 처음이라서,재밌듬
청춘기록,오랜만에 너무 재밌다..!!
청춘기록,즐거운 얼굴 보검이 보는중
초면에 사랑합니다,뻔해서 좋았던
초면에 사랑합니다,스트레스 팍팍풀리는 대리만족의 향연.
초면에 사랑합니다,뷰티인사이드같은 내용같으면서도 한 사람은 보이는 소재를 넣어 비서와의 관계가 가까워지며 사랑을 하는 그런 내용이여서 재밌었다
초면에 사랑합니다,영광입니당ㅋㅋㅋㅋㅋ
초콜릿,아날로그의 달콤함에 기분 좋아진다.
초콜릿,기묘하고 그로테스크한 느낌이 좋았다.
초콜릿,"어린이들의 꿈과 희망, 어른들의 어린이들에 대한 꿈과 희망."
초콜릿,어른들에게는 동심을 아이들에게는 희망을.
초콜릿,행복으로 버무려진 달콤한 초콜릿.
최강 배달꾼,이드라마를 보면서 대리만족의 시간을 가졌다.
최강 배달꾼,뻔할 수도 있지만 뻔하지 않고 신선한 면들이 많다
추노,스타일리쉬한 연출과 긴박감. 그리고 적절한 유머와 감동.
추리의 여왕,전편처럼 재미졌으 ㅎ
추리의 여왕,이렇게 코믹하면서 케미 좋은 드라마 또 안나오나
추리의 여왕,가볍게 좀더 가볍게 가즈아~ 시즌3
추리의 여왕,빠른 전개 굿굿
친애하는 판사님께,"다 접어두고.. 일단 내 취향에, 재미지다~"
친애하는 판사님께,대리만족. 사이다 원샷.
컬러 러쉬,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
컬러 러쉬,ㅇㅇ
컬러 러쉬,멋있고 재미있다👍👍👍
컬러 러쉬,킹받는다...
컬러 러쉬,너무 나빠서 나 웃었어
컬러 러쉬,넷플릭스에 있길래 봤는데 낚였다
쾌걸 춘향,웃기시네 신경끄셔
쾌걸 춘향,행복하길바래……
쾌걸 춘향,옛날에봤던거인데도지금도생각난다:)재밌다
크레이지 러브,킬링타임용 가볍게 감상
크로스,- 익숙함을 넘어 날아올라 멈추지 않고 달린다
"킬미, 힐미",바람이 분다. 살아야겠다.
"킬미, 힐미",상처를 갖고 살아가는 세상 모든 사람들에게 토닥이듯이 건네는 따스한 위로.
킬힐,여자들 기싸움이라 진부하지만 재밌네.
타임즈,장황하지만 보는 재미가 있고 재미있지만 어디선가 본 거 같고
타임즈,어디서 많이 본 듯한 신선함
타임즈,두 가지가 보인다.
태양의 후예,그냥...설렜다....ㅎ
태양의 후예,인소가 이거보단 낫겠다. 환장할 지경.
태조 왕건,궁예 얼굴만 봐도 웃김ㅋㅋ
태조 왕건,덕분에 힘찬 국사시간을 보낸 느낌...
투제니,깨끗하게 설레게 하네
투제니,재밌네 법자탈출
투제니,기분 좋은 드라마
투제니,캐스팅이 적절하다.
투제니,❤️
펜트하우스 2,벌써 떨리는군...^^
펜트하우스 2,시즌1에 비해 더 한 자극. 자극성에 속도감까지 더해져서 흡입력이 나아졌다.
펜트하우스 2,욕하면서 보는 맛.
펜트하우스 3,적당히 해라
포레스트,"""너랑 같이 있었더라면 좋았을텐데."" ""같이 있었어. 제니."""
포레스트,살면서 영화를 본다는 것의 행복
포레스트,믿고 싶은 주인공이 들려주는 믿기 힘든 이야기.
푸른 바다의 전설,재밌다!그냥재밌다 너무유쾌하다
푸른 바다의 전설,뻔한데 유치한데  예쁨
푸른 바다의 전설,재미있었다👍
푸른 바다의 전설,유치하다고 할 수도 있겠지만 난 재밌었다 갓지현 😍
풍선껌,"두고 두고 둘 , 이야기"
풍선껌,"행복했다 나 그대들을 만나서, 내가 사랑하는 사람들에게"
프라하의 연인,Ost랑 분위기 찰떡
프라하의 연인,숨겨지지 않는 날 것의 감정들
프라하의 연인,전도연 좋아~
프라하의 연인,애절하다.
하나뿐인 내편,엄마랑 봐야 재밌다
하나뿐인 내편,꿀잼
하나뿐인 내편,스트레스 받고 싶으면 추천
"하이드 지킬, 나",재밌는데 가끔 엥스러움
"하이드 지킬, 나","여, 남주 비주얼이 다 했다."
"하이바이, 마마!",과정이나 결말이 어찌됐든 눈물이 주륵주륵ㅜㅜ
"하이바이, 마마!",시작은 좋았는데...
"하이바이, 마마!",가슴이 아프다
"하이바이, 마마!",배우들의 감정연기는 참 좋다만.
학교 2017,재미있고 주인공이 연기를잘한다
학교 2017,세정이 화이팅
학교 2017,귀여운 섹스한 모습에 반했다
한 번 다녀왔습니다,요즘 열심히 챙겨보는 중이다. 가족들 하나같이 귀엽고 매력있다.
한 번 다녀왔습니다,내가 행복해야 세상도 아릅답다😊
함부로 애틋하게,김우빈의 섬세한 감정선에 놀람... 그래서 그런지 뻔한스토리임에도 잔잔한 느낌을준다. 보기 편안하다.
해치,실소로 시작해서 미소로 매듭짓는 무공해 코미디.
해치,산만하고 둔하다.
해치,"웃으며 입장, 산뜻하게 관람, 헛헛하게 퇴장."
해치,“순해서 좋아” 한국 코미디는 신선하면서도 친숙해야 한다
해치,"꼬맹이들 리액션 들으면서 같이 보니깐 재밌다,,, 내적친목,,,,"
해치,기분좋게 살랑이는 코미디
해치,웃기진 않아 나쁘진 않아 신선하진 않아 ㅋㅋㅋㅋㅋ
해치,개연성에서도 포스터처럼 당당해지고픈 코미디.
호텔 델루나,지은이가 개연성이고 줄거리고 CG고 재미지.. 뭐..
호텔 델루나,“부디 언젠가는 당신의 시간이 다시 흐르길  바랍니다.”
호텔 델루나,후반갈수록 빨리넘기면서봤네요 오글거림에 약해서.. 한회 한회 옴니버스식 귀신(직원포함) 스토리가 좋았습니다
호텔킹,난 나름 재밌게본듯
호텔킹,재밌엇어요
홍천기,가끔은 유치한 것도 좋다.
홍천기,재밌듬
홍천기,얼굴 구경 실컷 했습니다
화랑,15화가 재밌습니다
화랑,다시보면내가호구ㅅㄲ다
화랑,뭔가 아쉬운..ㅠ
화랑,재밌었다
화양연화,세련되고 또렷하며 섬세하다
화유기,점점 뭘 하려는건지 모르겠다.
화유기,아 재밌어 자존심상해 화깨비주제에
환혼,해피엔딩으로 끝내주셔서 감사하고 소중합니다 🙏
황후의 품격,재밌는데 왜ㅋㅋㅋㅋㅋㅋㅋ개웃김
황후의 품격,전개가 빠르고 흡입력이 강함
황후의 품격,미침.
황후의 품격,막장인데 재밌어
훈남정음,코믹이 과하다 했소이다. 201807
훈남정음,난 재밌었는데...역시 드라마는 직접 봐야 알 수 있다
흑기사,유쾌해서 좋다. 있던 걱정들도 모두 떨쳐낼 수 있게 해줘서 고마워.
흑기사,재미는 원시시대급이네.
흑기사,지금이라도 채널 돌리다가 케이블에서 하고있다면 다시 한 번 재미있게 볼 수 있는 유쾌한 영화.
흑기사,가볍지만 신박한 리얼 '블랙'코미디.
흑기사,스테레오타입과 클리셰를 멋지게 가지고 노는 코메디.
흑기사,가볍게 즐길수잇다 나쁘지않다
흑기사,그냥 짬날때보면 재밋는 코미디
흑기사,유쾌하다
흑기사,최고의 코미디
흑기사,간단하고 유쾌하면서 웃기 좋은 영화
흑기사,코믹함. 마틴 로맨스가 멍청해 보여도 할 건 다 함..
흑기사,말투부터 표정까지 코메디 그 자체
힐러,진짜 날 힐링시켜줬어
힐러,진짜꿀잼
힘쎈여자 도봉순,취향저격❤
D.P.,"이야기는 커졌지만, 밀도가 사라진.."
SF8,와 괜찮다!
SKY 캐슬,공감되는것도 있구 재밌게 봤는데 ㅋㅋ 마지막에 뭐람 ㅋㅋㅋㅋ
