drama,main_cluster,count,label
(아는 건 별로 없지만) 가족입니다,0,1,유쾌한 에너지와 케미가 살아있는 드라마
18 어게인,0,1,유쾌한 에너지와 케미가 살아있는 드라마
SF8,2,1,감정과 공감에 집중한 감성적인 드라마
SKY 캐슬,0,1,유쾌한 에너지와 케미가 살아있는 드라마
가면,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
간택 - 여인들의 전쟁,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
개와 늑대의 시간,0,1,유쾌한 에너지와 케미가 살아있는 드라마
갯마을 차차차,0,2,유쾌한 에너지와 케미가 살아있는 드라마
거침없이 하이킥,0,1,유쾌한 에너지와 케미가 살아있는 드라마
검법남녀 2,0,1,유쾌한 에너지와 케미가 살아있는 드라마
겨울연가,2,1,감정과 공감에 집중한 감성적인 드라마
경우의 수,0,1,유쾌한 에너지와 케미가 살아있는 드라마
계룡선녀전,3,2,따뜻한 정서와 위로를 전하는 드라마
고교처세왕,0,2,유쾌한 에너지와 케미가 살아있는 드라마
공작도시,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
공항 가는 길,2,1,감정과 공감에 집중한 감성적인 드라마
구경이,0,1,유쾌한 에너지와 케미가 살아있는 드라마
구미호뎐,2,3,감정과 공감에 집중한 감성적인 드라마
군검사 도베르만,0,2,유쾌한 에너지와 케미가 살아있는 드라마
굿캐스팅,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
궁,2,2,감정과 공감에 집중한 감성적인 드라마
그 해 우리는,0,3,유쾌한 에너지와 케미가 살아있는 드라마
그냥 사랑하는 사이,3,4,따뜻한 정서와 위로를 전하는 드라마
그래서 나는 안티팬과 결혼했다,0,1,유쾌한 에너지와 케미가 살아있는 드라마
기름진 멜로,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
김비서가 왜 그럴까,0,1,유쾌한 에너지와 케미가 살아있는 드라마
꽃보다 남자,0,1,유쾌한 에너지와 케미가 살아있는 드라마
나 홀로 그대,2,2,감정과 공감에 집중한 감성적인 드라마
나를 사랑한 스파이,0,2,유쾌한 에너지와 케미가 살아있는 드라마
나빌레라,2,1,감정과 공감에 집중한 감성적인 드라마
나의 나라,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
나의 아저씨,3,4,따뜻한 정서와 위로를 전하는 드라마
나의 해방일지,2,2,감정과 공감에 집중한 감성적인 드라마
날 녹여주오,2,1,감정과 공감에 집중한 감성적인 드라마
날씨가 좋으면 찾아가겠어요,2,1,감정과 공감에 집중한 감성적인 드라마
남자친구,2,2,감정과 공감에 집중한 감성적인 드라마
낭만닥터 김사부 2,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
내 뒤에 테리우스,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
내 아이디는 강남미인,2,1,감정과 공감에 집중한 감성적인 드라마
내게 거짓말을 해봐,2,1,감정과 공감에 집중한 감성적인 드라마
내일,2,1,감정과 공감에 집중한 감성적인 드라마
내일 그대와,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
너는 나의 봄,2,2,감정과 공감에 집중한 감성적인 드라마
너도 인간이니,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
너를 닮은 사람,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
너와 나의 경찰수업,0,3,유쾌한 에너지와 케미가 살아있는 드라마
너의 밤이 되어줄게,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
"단, 하나의 사랑",1,1,재미있는 전개와 코믹한 매력이 있는 드라마
달리와 감자탕,0,1,유쾌한 에너지와 케미가 살아있는 드라마
달의 연인 - 보보경심 려,3,1,따뜻한 정서와 위로를 전하는 드라마
당신이 잠든 사이에,0,1,유쾌한 에너지와 케미가 살아있는 드라마
대박,0,2,유쾌한 에너지와 케미가 살아있는 드라마
더 케이투,3,1,따뜻한 정서와 위로를 전하는 드라마
더킹 투하츠,0,1,유쾌한 에너지와 케미가 살아있는 드라마
도도솔솔라라솔,0,1,유쾌한 에너지와 케미가 살아있는 드라마
도시남녀의 사랑법,2,2,감정과 공감에 집중한 감성적인 드라마
독고 리와인드,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
돈꽃,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
동이,0,1,유쾌한 에너지와 케미가 살아있는 드라마
드라마의 제왕,1,3,재미있는 전개와 코믹한 매력이 있는 드라마
드림,3,1,따뜻한 정서와 위로를 전하는 드라마
따뜻한 말 한마디,2,2,감정과 공감에 집중한 감성적인 드라마
땐뽀걸즈,2,2,감정과 공감에 집중한 감성적인 드라마
또! 오해영,0,1,유쾌한 에너지와 케미가 살아있는 드라마
라디오 로맨스,0,2,유쾌한 에너지와 케미가 살아있는 드라마
라이브,3,2,따뜻한 정서와 위로를 전하는 드라마
라이프 온 마스,2,2,감정과 공감에 집중한 감성적인 드라마
라켓소년단,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
란제리 소녀시대,3,3,따뜻한 정서와 위로를 전하는 드라마
런온,0,3,유쾌한 에너지와 케미가 살아있는 드라마
레버리지:사기조작단,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
로망스,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
로맨스는 별책부록,3,1,따뜻한 정서와 위로를 전하는 드라마
로봇이 아니야,0,1,유쾌한 에너지와 케미가 살아있는 드라마
루갈,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
마녀식당으로 오세요,0,3,유쾌한 에너지와 케미가 살아있는 드라마
마우스,0,1,유쾌한 에너지와 케미가 살아있는 드라마
마이 걸,0,1,유쾌한 에너지와 케미가 살아있는 드라마
마이 네임,0,1,유쾌한 에너지와 케미가 살아있는 드라마
마이 시크릿 호텔,0,1,유쾌한 에너지와 케미가 살아있는 드라마
마이 프린세스,2,1,감정과 공감에 집중한 감성적인 드라마
마인,2,1,감정과 공감에 집중한 감성적인 드라마
맨도롱 또똣,2,1,감정과 공감에 집중한 감성적인 드라마
맨투맨,0,3,유쾌한 에너지와 케미가 살아있는 드라마
맨홀-이상한 나라의 필,0,1,유쾌한 에너지와 케미가 살아있는 드라마
멈추고 싶은 순간: 어바웃 타임,0,1,유쾌한 에너지와 케미가 살아있는 드라마
멜랑꼴리아,2,1,감정과 공감에 집중한 감성적인 드라마
모래시계,3,2,따뜻한 정서와 위로를 전하는 드라마
모범형사,0,1,유쾌한 에너지와 케미가 살아있는 드라마
몬스터,0,3,유쾌한 에너지와 케미가 살아있는 드라마
무법 변호사,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
무브 투 헤븐 : 나는 유품정리사입니다,0,1,유쾌한 에너지와 케미가 살아있는 드라마
미남이시네요,0,1,유쾌한 에너지와 케미가 살아있는 드라마
미래의 선택,0,1,유쾌한 에너지와 케미가 살아있는 드라마
미스터 기간제,3,1,따뜻한 정서와 위로를 전하는 드라마
미스터 션샤인,2,1,감정과 공감에 집중한 감성적인 드라마
미스티,2,1,감정과 공감에 집중한 감성적인 드라마
미안하다 사랑한다,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
바람의 화원,3,1,따뜻한 정서와 위로를 전하는 드라마
발칙하게 고고,2,2,감정과 공감에 집중한 감성적인 드라마
밥 잘 사주는 예쁜 누나,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
백일의 낭군님,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
별똥별,0,3,유쾌한 에너지와 케미가 살아있는 드라마
별에서 온 그대,0,2,유쾌한 에너지와 케미가 살아있는 드라마
병원선,0,1,유쾌한 에너지와 케미가 살아있는 드라마
보좌관,3,1,따뜻한 정서와 위로를 전하는 드라마
복수가 돌아왔다,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
부부의 세계,3,1,따뜻한 정서와 위로를 전하는 드라마
부암동 복수자들,0,5,유쾌한 에너지와 케미가 살아있는 드라마
불가살,2,1,감정과 공감에 집중한 감성적인 드라마
뷰티 인사이드,2,2,감정과 공감에 집중한 감성적인 드라마
빅마우스,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
빈센조,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
빠담빠담…. 그와 그녀의 심장박동소리,2,1,감정과 공감에 집중한 감성적인 드라마
사내맞선,1,8,재미있는 전개와 코믹한 매력이 있는 드라마
사랑비,0,1,유쾌한 에너지와 케미가 살아있는 드라마
사랑의 불시착,0,1,유쾌한 에너지와 케미가 살아있는 드라마
사랑의 온도,0,2,유쾌한 에너지와 케미가 살아있는 드라마
사이코지만 괜찮아,0,1,유쾌한 에너지와 케미가 살아있는 드라마
"사임당, 빛의 일기",0,1,유쾌한 에너지와 케미가 살아있는 드라마
사춘기 메들리,0,2,유쾌한 에너지와 케미가 살아있는 드라마
상속자들,2,2,감정과 공감에 집중한 감성적인 드라마
"서른, 아홉",3,1,따뜻한 정서와 위로를 전하는 드라마
"선배, 그 립스틱 바르지 마요",0,3,유쾌한 에너지와 케미가 살아있는 드라마
세상 어디에도 없는 착한남자,3,1,따뜻한 정서와 위로를 전하는 드라마
세상에서 제일 예쁜 내 딸,3,1,따뜻한 정서와 위로를 전하는 드라마
소년심판,0,1,유쾌한 에너지와 케미가 살아있는 드라마
쇼핑왕 루이,3,3,따뜻한 정서와 위로를 전하는 드라마
순정에 반하다,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
슈츠,0,1,유쾌한 에너지와 케미가 살아있는 드라마
스물다섯 스물하나,2,2,감정과 공감에 집중한 감성적인 드라마
스위트홈,0,1,유쾌한 에너지와 케미가 살아있는 드라마
스카이캐슬,0,1,유쾌한 에너지와 케미가 살아있는 드라마
스토브리그,0,2,유쾌한 에너지와 케미가 살아있는 드라마
슬기로운 감빵생활,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
시간,0,2,유쾌한 에너지와 케미가 살아있는 드라마
시그널,2,1,감정과 공감에 집중한 감성적인 드라마
시지프스: the myth,3,1,따뜻한 정서와 위로를 전하는 드라마
시카고 타자기,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
시크릿 가든,0,1,유쾌한 에너지와 케미가 살아있는 드라마
시티홀,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
식샤를 합시다 3,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
신데렐라와 네 명의 기사,1,3,재미있는 전개와 코믹한 매력이 있는 드라마
신사와 아가씨,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
신입사관 구해령,0,1,유쾌한 에너지와 케미가 살아있는 드라마
싸이코패스 다이어리,2,1,감정과 공감에 집중한 감성적인 드라마
쌈 마이웨이,0,2,유쾌한 에너지와 케미가 살아있는 드라마
쌍갑포차,0,1,유쾌한 에너지와 케미가 살아있는 드라마
아는 와이프,0,1,유쾌한 에너지와 케미가 살아있는 드라마
아랑사또전,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
아름다운 그대에게,1,4,재미있는 전개와 코믹한 매력이 있는 드라마
아름다웠던 우리에게,0,1,유쾌한 에너지와 케미가 살아있는 드라마
아버님 제가 모실게요,0,1,유쾌한 에너지와 케미가 살아있는 드라마
아스달 연대기,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
아이리스,2,2,감정과 공감에 집중한 감성적인 드라마
아이언맨,3,1,따뜻한 정서와 위로를 전하는 드라마
아이템,2,6,감정과 공감에 집중한 감성적인 드라마
아홉수 소년,3,4,따뜻한 정서와 위로를 전하는 드라마
악마가 너의 이름을 부를 때,3,2,따뜻한 정서와 위로를 전하는 드라마
악의 마음을 읽는 자들,1,3,재미있는 전개와 코믹한 매력이 있는 드라마
알고있지만,0,1,유쾌한 에너지와 케미가 살아있는 드라마
알함브라 궁전의 추억,2,1,감정과 공감에 집중한 감성적인 드라마
앨리스,1,3,재미있는 전개와 코믹한 매력이 있는 드라마
어게인 마이 라이프,1,3,재미있는 전개와 코믹한 매력이 있는 드라마
어느 날 우리 집 현관으로 멸망이 들어왔다,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
어느날,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
어바웃타임,0,1,유쾌한 에너지와 케미가 살아있는 드라마
언더커버,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
여름 향기,2,1,감정과 공감에 집중한 감성적인 드라마
여름향기,2,1,감정과 공감에 집중한 감성적인 드라마
여신강림,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
여인의 향기,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
역도요정 김복주,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
연애의 발견,2,2,감정과 공감에 집중한 감성적인 드라마
열두밤,2,1,감정과 공감에 집중한 감성적인 드라마
열여덟의 순간,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
영광의 재인,0,2,유쾌한 에너지와 케미가 살아있는 드라마
오 나의 귀신님,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
오 마이 금비,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
오 마이 레이디,0,1,유쾌한 에너지와 케미가 살아있는 드라마
오! 주인님,2,1,감정과 공감에 집중한 감성적인 드라마
오렌지 마말레이드,0,1,유쾌한 에너지와 케미가 살아있는 드라마
오월의 청춘,0,1,유쾌한 에너지와 케미가 살아있는 드라마
옥탑방 왕세자,0,2,유쾌한 에너지와 케미가 살아있는 드라마
옷소매 붉은 끝동,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
왕은 사랑한다,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
왕이 된 남자,3,1,따뜻한 정서와 위로를 전하는 드라마
"우리, 사랑했을까",0,1,유쾌한 에너지와 케미가 살아있는 드라마
우리는 오늘부터,1,8,재미있는 전개와 코믹한 매력이 있는 드라마
우리들의 블루스,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
우아한 가,0,2,유쾌한 에너지와 케미가 살아있는 드라마
운명과 분노,3,1,따뜻한 정서와 위로를 전하는 드라마
운명처럼 널 사랑해,0,1,유쾌한 에너지와 케미가 살아있는 드라마
원 더 우먼,0,3,유쾌한 에너지와 케미가 살아있는 드라마
월간 집,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
유미의 세포들,0,1,유쾌한 에너지와 케미가 살아있는 드라마
유미의 세포들 2,0,1,유쾌한 에너지와 케미가 살아있는 드라마
으라차차 와이키키,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
응답하라 1988,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
이리와 안아줘,3,2,따뜻한 정서와 위로를 전하는 드라마
이번 생은 처음이라,0,1,유쾌한 에너지와 케미가 살아있는 드라마
이브,2,1,감정과 공감에 집중한 감성적인 드라마
이웃집 꽃미남,0,2,유쾌한 에너지와 케미가 살아있는 드라마
이판사판,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
인간수업,2,1,감정과 공감에 집중한 감성적인 드라마
인현왕후의 남자,0,1,유쾌한 에너지와 케미가 살아있는 드라마
자이언트,2,1,감정과 공감에 집중한 감성적인 드라마
작은 아씨들,2,1,감정과 공감에 집중한 감성적인 드라마
장난스런 키스,3,3,따뜻한 정서와 위로를 전하는 드라마
장미빛 연인들,0,2,유쾌한 에너지와 케미가 살아있는 드라마
"장옥정, 사랑에 살다",1,1,재미있는 전개와 코믹한 매력이 있는 드라마
저글러스,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
저스티스,2,1,감정과 공감에 집중한 감성적인 드라마
전설의 고향,1,3,재미있는 전개와 코믹한 매력이 있는 드라마
전설의 마녀,0,2,유쾌한 에너지와 케미가 살아있는 드라마
전우치,0,4,유쾌한 에너지와 케미가 살아있는 드라마
절대 그이,1,3,재미있는 전개와 코믹한 매력이 있는 드라마
제3의 매력,3,1,따뜻한 정서와 위로를 전하는 드라마
제빵왕 김탁구,2,2,감정과 공감에 집중한 감성적인 드라마
"제왕의 딸, 수백향",0,1,유쾌한 에너지와 케미가 살아있는 드라마
좀비탐정,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
"지금, 헤어지는 중입니다",2,2,감정과 공감에 집중한 감성적인 드라마
지옥,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
진심이 닿다,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
질투의 화신,0,1,유쾌한 에너지와 케미가 살아있는 드라마
찬란한 유산,2,1,감정과 공감에 집중한 감성적인 드라마
천국의 계단,2,3,감정과 공감에 집중한 감성적인 드라마
천원짜리 변호사,1,3,재미있는 전개와 코믹한 매력이 있는 드라마
철인왕후,0,1,유쾌한 에너지와 케미가 살아있는 드라마
첫사랑은 처음이라서,0,2,유쾌한 에너지와 케미가 살아있는 드라마
청춘기록,0,1,유쾌한 에너지와 케미가 살아있는 드라마
초면에 사랑합니다,2,2,감정과 공감에 집중한 감성적인 드라마
초콜릿,2,3,감정과 공감에 집중한 감성적인 드라마
최강 배달꾼,0,1,유쾌한 에너지와 케미가 살아있는 드라마
추노,0,1,유쾌한 에너지와 케미가 살아있는 드라마
추리의 여왕,0,2,유쾌한 에너지와 케미가 살아있는 드라마
친애하는 판사님께,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
컬러 러쉬,1,3,재미있는 전개와 코믹한 매력이 있는 드라마
쾌걸 춘향,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
크레이지 러브,2,1,감정과 공감에 집중한 감성적인 드라마
크로스,2,1,감정과 공감에 집중한 감성적인 드라마
"킬미, 힐미",2,2,감정과 공감에 집중한 감성적인 드라마
킬힐,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
타임즈,0,1,유쾌한 에너지와 케미가 살아있는 드라마
태양의 후예,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
태조 왕건,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
투제니,0,2,유쾌한 에너지와 케미가 살아있는 드라마
펜트하우스 2,0,1,유쾌한 에너지와 케미가 살아있는 드라마
펜트하우스 3,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
포레스트,2,2,감정과 공감에 집중한 감성적인 드라마
푸른 바다의 전설,0,3,유쾌한 에너지와 케미가 살아있는 드라마
풍선껌,2,1,감정과 공감에 집중한 감성적인 드라마
프라하의 연인,3,2,따뜻한 정서와 위로를 전하는 드라마
하나뿐인 내편,0,2,유쾌한 에너지와 케미가 살아있는 드라마
"하이드 지킬, 나",1,1,재미있는 전개와 코믹한 매력이 있는 드라마
"하이바이, 마마!",2,3,감정과 공감에 집중한 감성적인 드라마
학교 2017,3,2,따뜻한 정서와 위로를 전하는 드라마
한 번 다녀왔습니다,3,2,따뜻한 정서와 위로를 전하는 드라마
함부로 애틋하게,0,1,유쾌한 에너지와 케미가 살아있는 드라마
해치,1,5,재미있는 전개와 코믹한 매력이 있는 드라마
호텔 델루나,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
호텔킹,0,2,유쾌한 에너지와 케미가 살아있는 드라마
홍천기,0,1,유쾌한 에너지와 케미가 살아있는 드라마
화랑,0,2,유쾌한 에너지와 케미가 살아있는 드라마
화양연화,3,1,따뜻한 정서와 위로를 전하는 드라마
화유기,1,2,재미있는 전개와 코믹한 매력이 있는 드라마
환혼,3,1,따뜻한 정서와 위로를 전하는 드라마
황후의 품격,1,3,재미있는 전개와 코믹한 매력이 있는 드라마
훈남정음,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
흑기사,1,7,재미있는 전개와 코믹한 매력이 있는 드라마
힐러,0,1,유쾌한 에너지와 케미가 살아있는 드라마
힘쎈여자 도봉순,1,1,재미있는 전개와 코믹한 매력이 있는 드라마
