,drama
0,(아는 건 별로 없지만) 가족입니다
2,1%의 어떤것
3,18 어게인
6,20세기 소년소녀
9,365: 운명을 거스르는 1년
11,7급 공무원
25,99억의 여자
28,9회말 2아웃
36,가면
37,가족끼리 왜 이래
38,각시탈
41,간택 - 여인들의 전쟁
43,갑동이
46,개와 늑대의 시간
48,개인의 취향
52,개인주의자 지영씨
54,갯마을 차차차
59,거침없이 하이킥
64,건빵선생과 별사탕
71,검법남녀
72,검법남녀 2
73,검사 프린세스
77,검은 태양
83,겨울연가
86,결혼계약
88,결혼백서
93,결혼작사 이혼작곡
95,경우의 수
98,경이로운 소문
99,경찰수업
100,계룡선녀전
105,고교처세왕
110,고백부부
114,고백하지 않는 이유
115,고스트 닥터
122,고호의 별이 빛나는 밤에
130,공작도시
131,공주의 남자
132,공항 가는 길
134,"괜찮아, 사랑이야"
139,구경이
141,구미호뎐
145,국민 여러분!
149,군검사 도베르만
154,군주-가면의 주인
157,굿 닥터
160,굿바이 내 인생보험
161,굿캐스팅
164,궁
168,귓속말
169,그 남자의 기억법
173,그 해 우리는
178,그냥 사랑하는 사이
186,그녀는 거짓말을 너무 사랑해
188,그녀의 사생활
193,그래서 나는 안티팬과 결혼했다
197,그린로즈
200,"금 나와라, 뚝딱!"
205,금수저
211,긍정이 체질
217,기름진 멜로
218,김과장
224,김비서가 왜 그럴까
225,꼰대인턴
232,꽃보다 남자
235,끝없는 사랑
237,나 홀로 그대
241,나를 사랑한 스파이
245,나빌레라
247,나의 나라
250,나의 아저씨
256,나의 해방일지
259,날 녹여주오
261,날씨가 좋으면 찾아가겠어요
263,남자친구
266,낭만닥터 김사부 2
270,낮과 밤
275,내 뒤에 테리우스
277,"내 딸, 금사월"
279,내 마음이 들리니
288,내 생애 봄날
295,내 아이디는 강남미인
297,내 여자친구는 구미호
298,내 연애의 모든것
301,내 이름은 김삼순
302,내게 거짓말을 해봐
303,내겐 너무 사랑스러운 그녀
309,내성적인 보스
310,내일
311,내일 그대와
317,내일 지구가 망해버렸으면 좋겠어
321,내조의 여왕
329,냄새를 보는 소녀
330,너는 나의 봄
338,너도 인간이니
340,너를 닮은 사람
342,너를 싫어하는 방법
343,너에게 가는 속도 493km
346,너와 나의 경찰수업
353,너의 노래를 들려줘
354,너의 목소리가 들려
358,너의 밤이 되어줄게
359,다시 만난 세계
361,닥치고 꽃미남 밴드
365,닥터 이방인
368,닥터챔프
373,"단, 하나의 사랑"
374,달리와 감자탕
378,달의 연인 - 보보경심 려
379,달자의 봄
382,달콤한 나의 도시
385,달콤한 스파이
390,달콤한 인생
391,당신은 생각보다 가까이에 있다
394,당신의 하우스헬퍼
397,당신이 소원을 말하면
399,당신이 잠든 사이에
402,대박
407,대박부동산
412,더 케이투
413,더 패키지
419,더킹 투하츠
420,데릴남편 오작두
421,도도솔솔라라솔
428,도둑잠
430,도시남녀의 사랑법
434,독고 리와인드
437,돈꽃
441,동이
443,두 번째 남편
444,두번은 없다
445,두번째 스무살
446,드라마의 제왕
451,드림
453,드림하이
456,디어 마이 프렌즈
461,따뜻한 말 한마디
464,딱밤 한 대가 이별에 미치는 영향
468,땐뽀걸즈
470,떼루아
472,또! 오해영
473,라디오 로맨스
477,라이브
480,라이프
482,라이프 온 마스
484,라켓소년단
490,란제리 소녀시대
496,러브 올 플레이
497,러브씬넘버
500,러블리호러블리
501,런온
507,레버리지:사기조작단
510,로망스
512,로맨스가 필요해
513,로맨스가 필요해 3
514,로맨스는 별책부록
516,로봇이 아니야
517,로스쿨
523,루갈
526,리갈하이
529,리멤버
532,리치맨
536,"링크: 먹고 사랑하라, 죽이게"
537,마녀식당으로 오세요
542,마녀의 법정
546,마녀의 연애
549,마성의 기쁨
552,마우스
554,마음의 소리
555,마이 걸
557,마이 네임
560,마이 시크릿 호텔
562,마이 프린세스
563,마인
564,매리는 외박중
567,맨도롱 또똣
569,맨몸의 소방관
570,맨투맨
576,맨홀-이상한 나라의 필
577,멈추고 싶은 순간: 어바웃 타임
580,메모리스트
581,멜랑꼴리아
582,멜로가 체질
586,명불허전
588,명성황후
589,모단걸
591,모던보이
595,모래시계
599,모범형사
600,몬스터
607,무법 변호사
610,무브 투 헤븐 : 나는 유품정리사입니다
612,무정도시
613,미남당
617,미남이시네요
621,미녀 공심이
625,미녀의 탄생
626,미라클
630,미래의 선택
632,미생
634,미세스 캅 2
637,미스 함무라비
638,미스터 굿바이
641,미스터 기간제
643,미스터 백
645,미스터 션샤인
647,미스티
648,미씽: 그들이 있었다
653,미안하다 사랑한다
654,"미치겠다, 너땜에!"
660,민트 컨디션
662,바람의 화원
663,반의반
664,발리에서 생긴 일
666,발칙하게 고고
669,밤이면 밤마다
670,밥 잘 사주는 예쁜 누나
674,백일의 낭군님
677,뱀파이어 아이돌
683,번외수사
697,법대로 사랑하라
701,변혁의 사랑
704,별똥별
715,별에서 온 그대
718,별책부록
720,병원선
723,보건교사 안은영
725,보보경심 려
726,보스를 지켜라
737,보이스
738,보이스2
739,보좌관
740,보통의 재화
744,복수가 돌아왔다
749,복수해라
752,본 어게인
753,봄밤
754,봄의 왈츠
756,봄이 오나 봄
762,부부의 세계
763,부암동 복수자들
770,부잣집 아들
771,불가살
772,뷰티 인사이드
775,뷰티풀 마인드
777,브람스를 좋아하세요
783,블랙
784,블러드
787,비밀의 문
789,비밀의 숲
791,비밀의 숲 2
793,비트윈
795,빅
797,빅마우스
798,빈센조
800,빛나는 로맨스
801,빠담빠담…. 그와 그녀의 심장박동소리
802,뿌리 깊은 나무
806,사내맞선
815,사랑비
818,사랑에 미치다
821,사랑은 뷰티풀 인생은 원더풀
822,사랑을 믿어요
826,사랑의 불시착
829,사랑의 온도
833,사랑이 오네요
835,사생활
836,사운드트랙 #1
844,사이코메트리 그녀석
845,사이코지만 괜찮아
848,"사임당, 빛의 일기"
851,사춘기 메들리
857,산후조리원
861,삼남매가 용감하게
863,"상두야, 학교가자!"
868,상속자들
874,"서른, 아홉"
875,서른이지만 열일곱입니다
884,"선배, 그 립스틱 바르지 마요"
889,설강화
890,세가지 색 판타지
897,세상 어디에도 없는 착한남자
898,세상에서 가장 아름다운 이별
899,세상에서 제일 예쁜 내 딸
900,소년심판
903,속삭임
910,"손 꼭 잡고, 지는 석양을 바라보자"
911,손: The Guest
912,쇼핑왕 루이
919,수상한 파트너
922,순정에 반하다
924,술꾼도시여자들
928,숨바꼭질
931,슈츠
932,슈퍼대디 열
933,스마일 어게인
934,스무살
939,스물다섯 스물하나
941,스위트홈
946,스카이캐슬
948,스케치
950,스타의 연인
951,스토브리그
954,스파이 명월
955,스포트라이트
956,슬기로운 감빵생활
957,슬기로운 의사생활
960,시간
964,시그널
965,시네마틱드라마 SF8
968,시를 잊은 그대에게
973,시맨틱 에러
975,시지프스: the myth
977,시카고 타자기
981,시크릿 가든
984,시티홀
986,식객
987,식샤를 합시다 1
988,식샤를 합시다 2
989,식샤를 합시다 3
990,신기생뎐
995,신데렐라와 네 명의 기사
999,신들의 만찬
1000,신사의 품격
1006,신의 퀴즈 리부트
1008,신입사관 구해령
1009,싸우자 귀신아
1014,싸이코지만 괜찮아
1017,싸이코패스 다이어리
1019,쌈 마이웨이
1024,쌍갑포차
1026,써클: 이어진 두 세계
1037,아는 와이프
1038,아랑사또전
1042,아름다운 그대에게
1051,아름다운 날들
1053,아름다웠던 우리에게
1055,아버님 제가 모실게요
1056,아버지가 이상해
1060,아스달 연대기
1066,아이가 다섯
1075,아이리스
1078,아이리스 2
1081,아이언맨
1082,아이템
1095,아직 낫 서른
1097,아테나: 전쟁의 여신
1098,아홉수 소년
1105,악마가 너의 이름을 부를 때
1109,악의 꽃
1112,악의 마음을 읽는 자들
1115,안녕 나야!
1118,알고있지만
1121,알함브라 궁전의 추억
1122,압구정 백야
1126,앙큼한 돌싱녀
1127,애간장
1128,애인있어요
1130,앨리스
1137,어게인 마이 라이프
1143,어느 날 우리 집 현관으로 멸망이 들어왔다
1144,어느 멋진날
1148,어느날
1150,어바웃타임
1153,어비스
1157,언더커버
1158,얼어죽을 연애따위
1161,에스에프 에잇
1164,에이틴 2
1167,엔젤아이즈
1169,여름 향기
1171,여름아 부탁해
1172,여름향기
1174,여신강림
1177,여우각시별
1178,여우야 뭐하니
1179,여인의 향기
1180,역도요정 김복주
1185,연애 말고 결혼
1188,연애는 귀찮지만 외로운 건 싫어!
1189,연애미수
1193,연애시대
1196,연애의 발견
1199,연애의 흔적
1204,연애조작단: 시라노
1208,연애혁명
1214,열두밤
1215,열여덟의 순간
1216,열혈사제
1217,엽기적인 그녀
1218,영광의 재인
1220,영혼수선공
1221,오 나의 귀신님
1222,오 마이 금비
1223,오 마이 레이디
1224,오 마이 베이비
1227,오 마이 비너스
1231,오! 주인님
1232,오늘의 연애
1234,오늘의 웹툰
1240,오렌지 마말레이드
1243,오로라 공주
1245,오버 더 레인보우
1247,오월의 청춘
1248,오작교 형제들
1250,오케이 광자매
1252,옥탑방 왕세자
1257,온에어
1261,올인
1262,옷소매 붉은 끝동
1265,완벽한 아내
1267,왔다! 장보리
1272,왕은 사랑한다
1277,왕이 된 남자
1280,왜 오수재인가
1281,왜그래 풍상씨
1285,"우리, 사랑했을까"
1290,우리 헤어졌어요
1297,우리가 결혼할 수 있을까
1304,우리가 만난 기적
1306,우리는 오늘부터
1325,우리들의 블루스
1327,우아한 가
1331,운명
1333,운명과 분노
1334,운명처럼 널 사랑해
1336,운빨로맨스
1337,원 더 우먼
1345,원티드
1346,월간 집
1349,월수금화목토
1350,위대한 쇼
1353,위대한 유혹자
1354,위대한유혹자
1355,유나의 거리
1357,유령을 잡아라
1360,유미의 세포들
1362,유미의 세포들 2
1364,유혹
1368,으라차차 내 인생
1369,으라차차 와이키키
1376,으라차차 와이키키 2
1383,은주의 방
1391,응급남녀
1397,응답하라 1988
1399,응답하라 1994
1403,응답하라 1997
1406,의사 요한
1407,이리와 안아줘
1410,이번 생은 처음이라
1414,이브
1416,이웃집 꽃미남
1422,이판사판
1426,인간수업
1427,인간실격
1429,인서울
1430,인현왕후의 남자
1432,일단 뜨겁게 청소하라
1434,일리있는 사랑
1439,일의 기쁨과 슬픔
1448,일지매
1449,자이언트
1451,자체발광 오피스
1459,작은 아씨들
1461,잘 하고 싶어
1465,장난스런 키스
1472,장미빛 연인들
1474,"장옥정, 사랑에 살다"
1476,장희빈
1478,저글러스
1483,저스티스
1485,전설의 고향
1490,전설의 마녀
1497,전설의 셔틀
1502,전우치
1506,절대 그이
1510,제3의 매력
1512,제5공화국
1513,제빵왕 김탁구
1516,"제왕의 딸, 수백향"
1518,조선로코 녹두전
1519,조작
1522,좀비탐정
1524,좋은사람
1525,주군의 태양
1526,죽어도 좋아
1532,증강 콩깍지
1533,"지금, 헤어지는 중입니다"
1538,지옥
1540,진검승부
1546,진실
1550,진심이 닿다
1554,질투의 화신
1557,징크스의 연인
1559,착한마녀전
1560,찬란한 유산
1562,참치와돌고래
1568,천국의 계단
1574,천국의 눈물
1575,천원짜리 변호사
1580,천일의 약속
1582,철인왕후
1587,첫사랑
1596,첫사랑은 처음이라서
1598,청담동 앨리스
1602,청춘기록
1605,초면에 사랑합니다
1609,초콜릿
1614,총리와 나
1618,최강 배달꾼
1620,최고다 이순신
1622,최고의 사랑
1625,최고의 엔딩
1626,최고의 이혼
1630,최고의 한방
1636,추노
1637,추리의 여왕
1641,추리의 여왕 2
1645,출사표
1648,치얼업
1653,치즈 인 더 트랩
1654,친애하는 판사님께
1656,카이로스
1660,캐리어를 끄는 여자
1661,커피 한잔 할까요
1672,커피프린스 1호점
1675,컬러 러쉬
1681,쾌걸 춘향
1686,크레이지 러브
1687,크로스
1688,키스 먼저 할까요
1694,키스식스센스
1701,"킬미, 힐미"
1704,킬힐
1705,타임즈
1708,탁구공
1711,태양의 후예
1713,태조 왕건
1715,터치
1716,톱스타 유백이
1727,투깝스
1729,투제니
1736,트레이서
1743,트로트의 연인
1744,파수꾼
1745,판타스틱
1751,패션 70
1754,패션왕
1757,페이지 터너
1763,펜트하우스
1764,펜트하우스 2
1767,펜트하우스 3
1768,편의점 샛별이
1772,포레스트
1777,퐁당퐁당 LOVE
1783,푸른 바다의 전설
1787,품위있는 그녀
1790,풍문으로 들었소
1798,풍선껌
1801,프라하의 연인
1806,프로듀사
1808,플레이어
1811,피고인
1812,피노키오
1814,하나뿐인 내편
1817,하늘에서 내리는 일억개의 별
1819,"하이드 지킬, 나"
1821,"하이바이, 마마!"
1825,하이스쿨 : 러브온
1836,하이클래스
1837,하자있는 인간들
1838,학교 2013
1840,학교 2017
1844,한 번 다녀왔습니다
1846,한 사람만
1849,한번 더 해피엔딩
1852,함부로 애틋하게
1853,해를 품은 달
1855,해치
1865,해피니스
1867,허쉬
1870,현재는 아름다워
1872,형수님은 열아홉
1874,호텔 델루나
1877,호텔킹
1880,홍천기
1884,화랑
1889,화양연화
1891,화유기
1893,환혼
1894,황금빛 내 인생
1895,황후의 품격
1899,회사를 관두는 최고의 순간
1902,후아유-학교 2015
1907,훈남정음
1909,흉부외과: 심장을 훔친 의사들
1912,흑기사
1926,힐러
1928,힘쎈여자 도봉순
1929,D.P.
1930,SF8
1933,SKY 캐슬
1935,XX
1936,커피 한잔 할까요?
1947,안녕? 나야!
